"","pVal","phase","peak.shape","period"
"469",6.49970064194333e-06,4,8,24
"470",5.1530125670003e-08,4,6,24
"471",0.000292955109025829,4,6,24
"472",6.10547071280736e-08,4,6,24
"473",2.00800192004031e-06,4,6,24
"474",2.80129910295937e-08,4,6,24
"475",1.62780827873163e-07,4,6,24
"476",3.65132185335528e-09,4,8,24
"477",6.35336362073237e-07,6,6,24
"478",5.26969738352981e-06,4,8,24
"479",3.28722050665548e-06,4,8,24
"480",4.80717363138999e-08,4,8,24
"481",1.29174164880137e-06,4,8,24
"482",2.25454274567895e-07,4,8,24
"483",1.04903200184928e-07,4,6,24
"484",3.87785188639269e-06,6,6,24
"485",2.13858424682806e-05,4,8,24
"486",7.19909780332241e-07,4,8,24
"487",3.05141509429502e-08,4,6,24
"488",1.12727137283947e-07,4,6,24
"489",6.57705324557316e-05,4,8,24
"490",6.35336362073237e-07,4,6,24
"491",6.00198815835299e-08,6,6,24
"492",1.87413512537095e-06,4,6,24
"493",5.85570022338484e-08,6,6,24
"494",5.53366242569776e-07,4,6,24
"495",5.81358374143648e-08,4,8,24
"496",6.46681654253116e-07,4,6,24
"497",3.72810421957768e-07,4,6,24
"498",1.24795379629963e-06,4,8,24
"499",4.21405487978579e-07,4,8,24
"500",2.07131511040319e-07,4,6,24
"501",7.02785073836688e-06,6,6,24
"502",1.20416594379789e-06,4,8,24
"503",7.32765312123889e-07,4,8,24
"504",0.000750903356867836,4,6,24
"505",2.96641874237761e-05,4,8,24
"506",9.78603203532962e-08,4,6,24
"507",9.40010453327665e-07,6,6,24
"508",2.77481409134249e-05,4,6,24
"509",2.6555068024402e-09,4,8,24
"510",5.09106357391863e-06,4,8,24
"511",3.41839738533643e-07,4,6,24
"512",4.34197407689332e-05,4,6,24
"513",3.16848861059046e-08,4,8,24
"514",5.92124269961123e-08,4,8,24
"515",1.97453522137297e-06,6,6,24
"516",4.39925595452309e-06,4,6,24
"517",7.32765312123889e-07,4,8,24
"518",1.57064832566552e-06,6,6,24
"519",6.7238282502862e-06,4,8,24
"520",3.25561655746327e-07,4,6,24
"521",6.28398953426695e-07,4,6,24
"522",8.19725039428328e-06,4,8,24
"523",5.60838564377812e-05,4,6,24
"524",1.80574547926783e-09,4,6,24
"525",1.48469434194587e-08,4,8,24
"526",1.78752954187537e-07,4,6,24
"527",2.73212464378337e-05,4,6,24
"528",8.19725039428328e-06,4,8,24
"529",9.71875214457416e-07,6,6,24
"530",3.28722050665548e-06,4,8,24
"531",1.29336330850623e-06,4,8,24
"532",5.80885053007307e-08,4,6,24
"533",1.15900460988885e-07,4,8,24
"534",6.06116338911764e-08,4,8,24
"535",5.44745860231354e-06,6,6,24
"536",1.24795379629963e-06,4,8,24
"537",2.90134549949363e-08,4,6,24
"538",8.25329319476227e-06,4,6,24
"539",1.83396110516168e-05,4,6,24
"540",8.62945296077767e-08,4,8,24
"541",4.9692828382638e-07,4,8,24
"542",1.28068342677346e-05,4,8,24
"543",5.53366242569776e-07,4,6,24
"544",5.44745860231354e-06,2,10,24
"545",2.05771649485757e-06,4,8,24
"546",1.65294111152869e-06,4,6,24
"547",2.8513223012265e-08,6,6,24
"548",3.99978090284753e-07,4,8,24
"549",2.71810979560703e-10,4,8,24
"550",3.92835624386811e-07,4,8,24
"551",4.04949251436886e-07,4,6,24
"552",5.81677782958903e-06,4,6,24
"553",1.2698477225505e-06,4,8,24
"554",1.81834901673529e-07,4,6,24
"555",2.56136685354691e-05,4,6,24
"556",3.99978090284753e-07,4,8,24
"557",6.49970064194333e-06,4,8,24
"558",3.19381841888595e-06,2,10,24
"559",2.8513223012265e-08,4,6,24
"560",5.89850560389863e-08,4,6,24
"561",1.13830809899798e-07,4,8,24
"562",6.80717530792754e-07,4,6,24
"563",2.539695445101e-06,4,6,24
"564",6.9144983071029e-06,4,6,24
"565",5.81358374143648e-08,4,8,24
"566",5.80559881236335e-06,4,8,24
"567",1.86910496976845e-09,6,6,24
"568",1.2017934078475e-07,6,6,24
"569",0.000123624174946221,4,6,24
"570",2.29341417232859e-07,4,8,24
"571",2.84621041261319e-06,4,6,24
