CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1_qvalue(q),Rain_qvalue
102,0.03340813282468317,0.1590986815290026,1.0,0.005382082627251002,0.0007854109406124,0.0013052741995663,0.0356300530475927,0.0014713636469128103
103,0.3865918929743895,1.0,1.0,0.999999999997959,0.0001572695710005,0.0952331489460573,0.315272179295522,0.09034249145715004
104,0.025716238893611035,0.29817949227964874,1.0,0.005687744062533592,0.0475931016143069,0.0003733146468129,0.0251741235566843,0.0036620812255567766
105,0.04187706916016139,0.6528500288757033,1.0,0.06284440529329371,0.0011895227424924,0.0024736908728818,0.0444387485401181,0.014597622255642474
106,0.10057777332701423,1.0,1.0,0.3684692616553126,0.0010672343902564,0.0094622684572814,0.0810841319053761,0.02585693295980368
107,0.016269268830742107,0.14946815260800309,1.0,0.0004199013226660636,0.0004511680673111,0.0001100637916794,0.0196626303732833,0.0017611769981542276
108,0.2950360837441679,0.7952450391367227,1.0,0.5780370963809333,0.0002456473357361,0.045814713738536,0.1991280314975121,0.0654620138202307
109,0.16004063597198329,0.9682553357848361,1.0,0.606069431466806,0.0052591679386677,0.028086925199972,0.1480386085719706,0.011756533030793213
110,0.14885221270031082,1.0,1.0,0.8767278537413755,0.0038878239877429,0.0292952760061629,0.1515415068611773,0.027454750634332965
111,0.22014796691771105,1.0,1.0,0.999999999997959,0.0001788145293556,0.0579150940050608,0.2307228288211311,0.28344011880949566
