test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor),peaks,heights
1030.0,24.0,2.0,2.773337115513641e-13,6.698881921530534e-12,0.279539696264965,0.9450705005725358,1.474392345908594,"[1.310098993371675, 1.6523441274901487]",0.0,0.0,-0.6037895790683088,"[-0.675273924133193, -0.5384473648151172]",0.0,0.0,0.006055174653423867,"[-0.11372159295326678, 0.1222120951968205]",0.9437153654647255,0.9999843820196646,[ 2.30630631 15.80780781],[1.48043564 0.26117362]
1031.0,24.0,2.0,1.2793655024267991e-11,6.554126549317618e-11,0.2263094491837323,0.9450705005725358,1.6012171596888356,"[1.4233258644395186, 1.7907460552489407]",0.0,0.0,-0.5408948312486928,"[-0.6353433007298941, -0.4389753410969091]",0.0,0.0,-0.07879501353215046,"[-0.24470029485375405, 0.0859919463398907]",0.34653054885473944,0.9999843820196646,[ 2.06606607 15.66366366],[1.52242215 0.35224865]
1032.0,24.0,2.0,2.5763835509451383e-12,2.2940328956333862e-11,0.10701476064388848,0.9450705005725358,1.7011257295338567,"[1.5180633683126687, 1.8801358984027174]",0.0,0.0,-0.6037895790683088,"[-0.6922352360843651, -0.5057181095292402]",0.0,0.0,-0.04844511594367584,"[-0.19603684975990282, 0.0959715890796984]",0.5014488253581457,0.9999843820196646,[ 2.30630631 16.33633634],[1.65267616 0.31997245]
1033.0,24.0,2.0,4.374278717023117e-14,3.003685580321485e-12,0.1016772850934573,0.9450705005725358,1.7900255123111348,"[1.614075446707111, 1.9645440426479164]",0.0,0.0,-0.69184222601577,"[-0.7607998651514606, -0.6237145978708544]",0.0,0.0,-0.13269616664597406,"[-0.25554518054655306, -0.006282401000423973]",0.039536752406637676,0.6701144475701302,[ 2.64264264 16.28828829],[1.65732935 0.64600612]
1034.0,24.0,2.0,1.2546186312079044e-11,6.473780346790012e-11,0.32937997434382227,0.9450705005725358,1.6535882308019891,"[1.4177501772433398, 1.896479788097729]",0.0,0.0,-0.5534737808126167,"[-0.6484506273832583, -0.45793690330740444]",0.0,0.0,-0.030257267128467102,"[-0.20187263928572283, 0.15393859911515181]",0.7915547789049118,0.9999843820196646,[ 2.11411411 15.85585586],[1.62333096 0.29693382]
1035.0,24.0,2.0,1.7397194795876203e-12,1.8236053245153253e-11,0.9506674543911688,0.9745523275776836,1.7681846354331696,"[1.5698852559018106, 1.968698214811107]",0.0,0.0,-0.5786316799404627,"[-0.6485171539927173, -0.5000364777891271]",0.0,0.0,-0.007913902876270695,"[-0.16612937157859714, 0.14617846611595708]",0.9002644614028954,0.9999843820196646,[ 2.21021021 15.85585586],[1.76020606 0.10295536]
1036.0,24.0,2.0,5.991704910002227e-10,1.4347952370694986e-09,0.7566447265338999,0.9450705005725358,1.8648924902710489,"[1.585939316426141, 2.1593656448480076]",0.0,0.0,-0.5534737808126167,"[-0.6531047405231227, -0.4564085422653879]",0.0,0.0,-0.1278233689708428,"[-0.3504036076409863, 0.08032054428759464]",0.2188079450642988,0.9999843820196646,[ 2.11411411 15.95195195],[1.73706912 0.29617754]
1037.0,24.0,2.0,9.929246314044349e-11,3.1237032527345767e-10,0.6131791155522271,0.9450705005725358,1.5673240497635144,"[1.3778768649986126, 1.765488938523245]",0.0,0.0,-0.5912106295043857,"[-0.6761709802375688, -0.5015971446626053]",0.0,0.0,0.020271904306623956,"[-0.13371690482415913, 0.16882632307130155]",0.8199059307519603,0.9999843820196646,[ 2.25825826 15.71171171],[1.58759595 0.19741319]
1038.0,24.0,2.0,5.924160051407057e-10,1.4203212782083568e-09,0.026516801706828907,0.9450705005725358,1.6277157468796384,"[1.4150908574240764, 1.8305915427526198]",0.0,0.0,-0.6666843268879239,"[-0.7666610033933747, -0.5613635936449366]",0.0,0.0,-0.06582929098178192,"[-0.22650213630754437, 0.0876933692681374]",0.3861788869323064,0.9999843820196646,[ 2.54654655 16.76876877],[1.56188646 0.45155969]
1039.0,24.0,2.0,9.122791411186881e-11,2.9174260988765214e-10,0.8072607292706793,0.9450705005725358,1.6846835733063805,"[1.5234095478245389, 1.8669097722185415]",0.0,0.0,-0.6289474781961548,"[-0.7413669118178722, -0.5305150192135598]",0.0,0.0,-0.03277012871126783,"[-0.19301754163377832, 0.12512272258764484]",0.6754611292117407,0.9999843820196646,[ 2.4024024  16.38438438],[1.65183419 0.35624148]
104.0,24.0,2.0,5.684341886080802e-14,3.266863152920001e-12,0.7169227894034972,0.9450705005725358,1.749415088056,"[1.5635318981086088, 1.9448953684867953]",0.0,0.0,-0.6289474781961548,"[-0.6887000392913272, -0.5669318608828704]",0.0,0.0,-0.06318373691058388,"[-0.21066792501733766, 0.08102261200459702]",0.38331506407436233,0.9999843820196646,[ 2.4024024 16.0960961],[1.68623135 0.35619209]
