test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
883.0,24.0,1.1832340805701481e-12,2.927191283542192e-11,1.0364750361811597,3.0301733156684993e-55,7.55654193433541e-54,"[0.9067182232197062, 1.1662318491426131]",0.04926830448147079,0.4578701913087403,0.6254202859018444,"[-0.0808091578718933, 0.17934576683483489]",23.811808939296416
884.0,24.0,1.6906808809475285e-11,1.3084915461095145e-10,1.0485832127505372,9.898844801996394e-43,7.66164458358854e-42,"[0.898589792140631, 1.1985766333604435]",0.0585775285685779,0.4398034668740821,0.6074486271035046,"[-0.0900387964274037, 0.2071938535645595]",23.7762503225809
885.0,24.0,1.6411097806979504e-09,4.316438139657945e-09,1.0085325127603253,3.94713942870817e-27,1.0381744946628537e-26,"[0.8252924655670659, 1.1917725599535847]",-0.06644292664931939,0.4902412789108247,0.6564295547871299,"[-0.2551963722094426, 0.1223105189108038]",0.2537932850335537
886.0,24.0,9.401386848445862e-12,8.945182538958956e-11,1.033664346904392,3.072959031386051e-45,2.92384303652336e-44,"[0.8901323515439294, 1.1771963422648546]",0.07514585731574108,0.3072155687271091,0.4684592386811666,"[-0.06909639486171057, 0.21938810949319273]",23.712963968527717
887.0,24.0,4.0699225436171953e-11,2.303943543588154e-10,1.0497229495536058,3.235916562469634e-39,1.832342334354266e-38,"[0.8926838433104307, 1.2067620557967809]",-0.015569305736765848,0.8443894590753523,0.9181921419463992,"[-0.17103583070963266, 0.13989721923610096]",0.05947036724436692
888.0,24.0,9.531064465576529e-13,2.6041159742012373e-11,1.0345861187097238,2.1128991982889853e-56,5.772948629204878e-55,"[0.9064450924142711, 1.1627271450051766]",-0.03939126883678412,0.5485842453347594,0.7094985066409201,"[-0.16809215635830774, 0.0893096186847395]",0.15046356360086224
889.0,24.0,4.600039945743018e-11,2.535854435359988e-10,1.0155673017548628,9.512990109062865e-39,5.244206234323519e-38,"[0.8626799266020921, 1.1684546769076334]",-0.031609520356431275,0.6920852273401454,0.8219539517103865,"[-0.1880472034899048, 0.12482816277704226]",0.12073947392375825
890.0,24.0,4.6312258130293236e-12,5.84675114414459e-11,1.0298961090811014,1.8981467469987944e-48,2.3966499330792856e-47,"[0.8918908550625684, 1.1679013630996344]",0.0736841781927664,0.2995012644405508,0.45928732470564454,"[-0.06551374759621051, 0.21288210398174331]",23.718547171510973
891.0,24.0,1.8105666898308623e-10,6.969078867709247e-10,1.03550904712119,7.564730298295859e-34,2.9117514620076443e-33,"[0.8681552191950135, 1.2028628750473667]",0.029042877130523337,0.7346552331228269,0.8507877627363368,"[-0.13890148076201994, 0.19698723502306661]",23.8890643810336
892.0,24.0,5.1547538990343144e-09,1.1926479039925901e-08,0.8881965555911712,3.945776439751755e-24,9.127403284181715e-24,"[0.7163972376036486, 1.0599958735786936]",-0.19065328960620054,0.06230749381406728,0.11626701588741793,"[-0.39111106561291376, 0.009804486400512707]",0.7282419229813797
893.0,24.0,1.6695269512542968e-10,6.557450711917898e-10,0.9848081251985351,4.050830772169628e-34,1.5910568625960835e-33,"[0.8263155271156384, 1.1433007232814318]",0.1128806906774864,0.18546759960056713,0.3094220880890342,"[-0.05420711476498202, 0.27996849611995483]",23.56882752237722
894.0,24.0,3.56045222675411e-11,2.1155390533298335e-10,0.9983340826918001,9.938302409122104e-40,5.905111354202081e-39,"[0.8499937534412619, 1.1466744119423382]",-0.145964326029846,0.06349660177817981,0.11839996590282537,"[-0.3001299319729867, 0.008201279913294723]",0.557542656065448
895.0,24.0,5.138369443511111e-08,1.0598946871928859e-07,0.8606445889606612,5.698871432876696e-19,1.1755097840092195e-18,"[0.6710649935218679, 1.0502241843994546]",0.10804048137994737,0.35452023206548877,0.520893670387142,"[-0.12067240012101818, 0.33675336288091295]",23.587315760024484
896.0,24.0,1.8971257816835353e-12,3.563106028688691e-11,1.076610894285406,8.542733782149031e-53,1.608801088916955e-51,"[0.9386295143026391, 1.214592274268173]",0.11874178105785216,0.08025082764337618,0.14733032429479748,"[-0.014304915746627317, 0.2517884778623316]",23.546439806234574
897.0,24.0,3.38531705677506e-10,1.1394537383961832e-09,1.0166538098302416,8.404198830843924e-32,2.828744136938379e-31,"[0.8468577868739013, 1.1864498327865818]",-0.08859231201524231,0.3168205163330141,0.47901499294377703,"[-0.2620543332811461, 0.08486970925066145]",0.3383977050519678
898.0,24.0,2.190990181433005e-10,8.099459430009885e-10,1.0598505692969278,3.266831835492296e-33,1.2077012330840279e-32,"[0.8868449826692526, 1.232856155924603]",-0.030472028244885152,0.7247711012214032,0.843843055768132,"[-0.2000995477421528, 0.1391554912523825]",0.11639457410902378
899.0,24.0,8.70291688584464e-08,1.7746567874887113e-07,0.8955053276495022,6.2698069976986686e-18,1.278508767883089e-17,"[0.6920681006158127, 1.0989425546831917]",0.1455511168585124,0.2261635624721623,0.3653102285126188,"[-0.09015474318859465, 0.38125697690561944]",23.44403568670612
900.0,24.0,2.965417085862618e-12,4.541220652163274e-11,1.0058008410536774,1.4067947352222552e-50,2.154356409222443e-49,"[0.8739988059176909, 1.137602876189664]",-0.016818205386357477,0.8087370505676239,0.8949997139781205,"[-0.15299795680170078, 0.11936154602898583]",0.06424081250816477
901.0,24.0,5.143165886693332e-11,2.734272135403154e-10,1.0479593309045052,2.519170819103422e-38,1.3392720994701872e-37,"[0.8892866010621502, 1.2066320607468604]",0.06559047189224376,0.413777078626999,0.5831973214916271,"[-0.09170854770134318, 0.2228894914858307]",23.749462852286864
902.0,24.0,8.226573878539961e-10,2.351793561618056e-09,1.02372601438152,4.319784472070945e-29,1.2345768711263063e-28,"[0.844495347040543, 1.2029566817224973]",-0.12652330430462655,0.17237337659187968,0.29107290880087755,"[-0.3082454081122562, 0.05519879950300313]",0.4832834231136335
903.0,24.0,2.425579057685043e-11,1.6411225018166733e-10,0.9075256446713432,2.988535147769532e-41,2.0220129551891287e-40,"[0.7753005959687574, 1.0397506933739291]",-0.10620905802965197,0.1688211605145734,0.2861860663071256,"[-0.25749226846726725, 0.04507415240796328]",0.4056887180772737
904.0,24.0,3.347268880710709e-11,2.043509695183583e-10,1.1327432405964504,5.646973056729566e-40,3.447480498613899e-39,"[0.9649724629114772, 1.3005140182814234]",-0.021503050394525935,0.7842221056142706,0.8815259376267933,"[-0.17541815744969025, 0.13241205666063838]",0.08213560228423039
905.0,24.0,7.234884340133196e-10,2.1111422060499553e-09,1.0136353019413076,1.7960926588262398e-29,5.24100571586297e-29,"[0.8373916506583612, 1.189878953224254]",0.03037569700065923,0.7417742662580086,0.8560580106843723,"[-0.1503054220139627, 0.21105681601528115]",23.8839733841396
906.0,24.0,1.2667968219698069e-09,3.4330537180753574e-09,0.9894256415913225,7.484721012292306e-28,2.028379678127996e-27,"[0.8121515804768148, 1.1666997027058301]",0.01841448658607714,0.8463005581222766,0.919092699959032,"[-0.16777817786430513, 0.2046071510364594]",23.929661842447835
907.0,24.0,1.6165620685137498e-07,3.2664418438346124e-07,0.9977520969162638,9.116544684504359e-17,1.842098339968551e-16,"[0.7625892300319805, 1.232914963800547]",-0.1755677215328939,0.1590804197829413,0.2725846809166232,"[-0.4199317890697157, 0.06879634600392787]",0.670619297504195
908.0,24.0,6.954033904372961e-09,1.574735938490254e-08,0.9525230088158825,2.11741191066524e-23,4.794863928136866e-23,"[0.765220945526195, 1.1398250721055698]",-0.03471785425785878,0.739123818928893,0.8539847705706447,"[-0.23905092140905654, 0.16961521289333897]",0.13261243484837354
909.0,24.0,6.8196078620061064e-15,4.513223769329063e-12,1.0033696702866743,4.9057051049833746e-90,3.2704700699889165e-87,"[0.9056289292730175, 1.1011104113003312]",-0.07414654886255079,0.15096315333112875,0.2604159967761407,"[-0.17533779406660524, 0.027044696341503666]",0.283218954352313
910.0,24.0,7.561613006052417e-09,1.699620815026392e-08,0.9355810536914331,3.380456652661323e-23,7.598239273232913e-23,"[0.7507465939203459, 1.1204155134625202]",-0.10730145678277925,0.30525164666770066,0.46610420929561863,"[-0.31243169437790647, 0.09782878081234797]",0.40986137395057676
911.0,24.0,7.480940449851337e-12,7.862238354801836e-11,1.0315873780443392,2.9848220621990515e-46,3.138614155834965e-45,"[0.8899834373364615, 1.173191318752217]",-0.09057262795193122,0.21305987234171597,0.3473424720275774,"[-0.2331358475115877, 0.05199059160772526]",0.3459619547369525
